GPSX,GPSY,geometry
121.479552,31.277858,POINT (121.479552 31.277858)
121.778861,31.052575,POINT (121.778861 31.052575)
121.48494,31.235022,POINT (121.48494 31.235022)
121.455266,31.230511,POINT (121.455266 31.230511)
121.407315,31.234468,POINT (121.407315 31.234468)
121.418618,31.239771,POINT (121.418618 31.239771)
121.411665,31.220622,POINT (121.411665 31.220622)
121.450048,31.232552,POINT (121.450048 31.232552)
121.462457,31.259044,POINT (121.462457 31.259044)
121.394194,31.216994,POINT (121.394194 31.216994)
121.552324,31.234488,POINT (121.552324 31.234488)
121.47651100000002,31.233642,POINT (121.476511 31.233642)
121.438642,31.194528,POINT (121.438642 31.194528)
121.439333,31.228635,POINT (121.439333 31.228635)
121.492867,31.249506,POINT (121.492867 31.249506)
121.439599,31.208111,POINT (121.439599 31.208111)
121.501776,31.273153000000004,POINT (121.501776 31.273153)
121.486234,31.236434000000006,POINT (121.486234 31.23643400000001)
121.434709,31.19807,POINT (121.434709 31.19807)
121.471034,31.221382,POINT (121.471034 31.221382)
121.472001,31.234414,POINT (121.472001 31.234414)
121.497749,31.159722,POINT (121.497749 31.159722)
121.445505,31.226196,POINT (121.445505 31.226196)
121.442964,31.225775,POINT (121.442964 31.225775)
121.442629,31.225141,POINT (121.442629 31.225141)
121.045447,31.122776,POINT (121.045447 31.122776)
121.400495,31.206465,POINT (121.400495 31.206465)
121.432402,31.241427,POINT (121.432402 31.241427)
121.583418,31.27372,POINT (121.583418 31.27372)
121.40396,31.209055,POINT (121.40396 31.209055)
121.454121,31.222192,POINT (121.454121 31.222192)
121.329883,31.167472,POINT (121.329883 31.167472)
121.441221,31.325578000000004,POINT (121.441221 31.325578)
121.444044,31.224254,POINT (121.444044 31.224254)
121.364127,31.196816,POINT (121.364127 31.196816)
121.407533,31.291407,POINT (121.407533 31.291407)
121.559905,31.214976,POINT (121.559905 31.214976)
121.443647,31.309359000000004,POINT (121.443647 31.309359)
121.432124,31.196815,POINT (121.432124 31.196815)
121.394815,31.165887,POINT (121.394815 31.165887)
121.379471,31.285925,POINT (121.379471 31.285925)
121.445865,31.210494,POINT (121.445865 31.210494)
121.419966,31.003515000000004,POINT (121.419966 31.003515)
121.58738999999998,31.193478,POINT (121.58739 31.193478)
121.470481,31.219625,POINT (121.470481 31.219625)
121.559635,31.215265,POINT (121.559635 31.215265)
121.310134,31.151203,POINT (121.310134 31.151203)
121.434558,31.202965000000006,POINT (121.434558 31.20296500000001)
121.402983,31.193274,POINT (121.402983 31.193274)
121.434678,31.199291,POINT (121.434678 31.199291)
121.47201499999998,31.233909000000004,POINT (121.472015 31.233909)
121.323623,31.193929,POINT (121.323623 31.193929)
121.454394,31.222458000000003,POINT (121.454394 31.222458)
121.441711,31.225551,POINT (121.441711 31.225551)
121.461537,31.227273,POINT (121.461537 31.227273)
121.39795,31.211504,POINT (121.39795 31.211504)
121.369539,31.274457,POINT (121.369539 31.274457)
121.211524,31.051669,POINT (121.211524 31.051669)
121.453055,31.187884000000004,POINT (121.453055 31.187884)
121.470441,31.223006,POINT (121.470441 31.223006)
121.396932,31.197151,POINT (121.396932 31.197151)
121.586758,31.18922,POINT (121.586758 31.18922)
121.435538,31.197308000000003,POINT (121.435538 31.197308)
121.437952,31.224745,POINT (121.437952 31.224745)
121.45991200000002,31.233175,POINT (121.459912 31.233175)
121.445631,31.214814,POINT (121.445631 31.214814)
121.480212,30.91719,POINT (121.480212 30.91719)
121.512869,31.304920000000006,POINT (121.512869 31.30492000000001)
121.623281,31.213857,POINT (121.623281 31.213857)
121.287288,31.171375,POINT (121.287288 31.171375)
121.519448,30.840232,POINT (121.519448 30.840232)
121.545851,31.212302,POINT (121.545851 31.212302)
121.483838,31.264554,POINT (121.483838 31.264554)
121.480907,30.917075,POINT (121.480907 30.917075)
121.48048500000002,30.916981,POINT (121.480485 30.916981)
121.447173,31.23045,POINT (121.447173 31.23045)
121.43218600000002,31.196679,POINT (121.432186 31.196679)
121.452564,31.247134000000006,POINT (121.452564 31.24713400000001)
121.237728,31.366421000000006,POINT (121.237728 31.36642100000001)
121.41407,31.235213,POINT (121.41407 31.235213)
121.438697,31.19117,POINT (121.438697 31.19117)
